timestamp,time,actionEye,actionUperFace,powerUpperFace,actionLowerFace,powerLowerFace
1739917868,31:07.8,neutral,frown,0.95,clench,0.8
1739917868,31:07.8,neutral,frown,0.95,clench,0.8
1739917868,31:07.8,neutral,frown,0.95,clench,0.8
1739917868,31:07.9,neutral,frown,0.95,clench,0.8
1739917868,31:07.9,neutral,frown,0.95,clench,0.8
1739917868,31:07.9,neutral,frown,0.95,clench,0.8
1739917868,31:08.0,neutral,frown,0.95,clench,0.8
1739917868,31:08.0,neutral,frown,0.95,clench,0.8
1739917868,31:08.0,neutral,frown,0.95,clench,0.8
1739917868,31:08.0,neutral,frown,0.95,clench,0.8
1739917868,31:08.1,neutral,frown,0.95,clench,0.8
1739917868,31:08.1,neutral,frown,0.95,clench,0.8
1739917868,31:08.1,neutral,frown,0.95,clench,0.8
1739917868,31:08.2,neutral,frown,0.95,clench,0.8
1739917868,31:08.2,neutral,frown,0.95,clench,0.8
1739917868,31:08.2,neutral,frown,0.95,clench,0.8
1739917868,31:08.3,neutral,frown,0.95,clench,0.8
1739917868,31:08.3,neutral,frown,0.95,clench,0.8
1739917868,31:08.3,neutral,frown,0.95,clench,0.8
1739917868,31:08.4,neutral,frown,0.95,clench,0.8
1739917868,31:08.4,neutral,frown,0.95,clench,0.8
1739917868,31:08.4,neutral,frown,0.95,clench,0.8
1739917868,31:08.5,neutral,frown,0.95,clench,0.8
1739917868,31:08.5,neutral,frown,0.95,clench,0.8
1739917869,31:08.5,neutral,frown,0.95,clench,0.8
1739917869,31:08.5,neutral,frown,0.95,clench,0.8
1739917869,31:08.6,neutral,frown,0.95,clench,0.8
1739917869,31:08.6,neutral,frown,0.95,clench,0.8
1739917869,31:08.6,neutral,frown,0.95,clench,0.8
1739917869,31:08.7,neutral,frown,0.95,clench,0.8
1739917869,31:08.7,neutral,frown,0.95,clench,0.8
1739917869,31:08.7,neutral,frown,0.95,clench,0.8
1739917869,31:08.8,neutral,frown,0.95,clench,0.8
1739917869,31:08.8,neutral,frown,0.95,clench,0.8
1739917869,31:08.8,neutral,frown,0.95,clench,0.8
1739917869,31:08.9,neutral,frown,0.95,clench,0.8
1739917869,31:08.9,neutral,frown,0.95,clench,0.8
1739917869,31:08.9,neutral,frown,0.95,clench,0.8
1739917869,31:09.0,neutral,frown,0.95,clench,0.8
1739917869,31:09.0,neutral,frown,0.95,clench,0.8
1739917869,31:09.0,neutral,frown,0.95,clench,0.8
1739917869,31:09.0,neutral,frown,0.95,clench,0.8
1739917869,31:09.1,neutral,frown,0.95,clench,0.8
1739917869,31:09.1,neutral,frown,0.95,clench,0.8
1739917869,31:09.1,neutral,frown,0.95,clench,0.8
1739917869,31:09.2,neutral,frown,0.95,clench,0.8
1739917869,31:09.2,neutral,frown,0.95,clench,0.8
1739917869,31:09.2,neutral,frown,0.95,clench,0.8
1739917869,31:09.3,neutral,frown,0.95,clench,0.8
1739917869,31:09.3,neutral,frown,0.95,clench,0.8
1739917869,31:09.3,neutral,frown,0.95,clench,0.8
1739917869,31:09.4,neutral,frown,0.95,clench,0.8
1739917869,31:09.4,neutral,frown,0.95,clench,0.8
1739917869,31:09.4,neutral,frown,0.95,clench,0.8
1739917869,31:09.5,neutral,frown,0.95,clench,0.8
1739917869,31:09.5,neutral,frown,0.95,clench,0.8
1739917870,31:09.5,neutral,frown,0.95,clench,0.8
1739917870,31:09.5,neutral,frown,0.95,clench,0.8
1739917870,31:09.6,neutral,frown,0.95,clench,0.8
1739917870,31:09.6,neutral,frown,0.95,clench,0.8
1739917870,31:09.6,neutral,frown,0.95,clench,0.8
1739917870,31:09.7,neutral,frown,0.95,clench,0.8
1739917870,31:09.7,neutral,frown,0.95,clench,0.8
1739917870,31:09.7,neutral,frown,0.95,clench,0.8
1739917870,31:09.8,neutral,frown,0.95,clench,0.8
1739917870,31:09.8,neutral,frown,0.95,clench,0.8
1739917870,31:09.8,neutral,frown,0.95,clench,0.8
1739917870,31:09.9,neutral,frown,0.95,clench,0.8
1739917870,31:09.9,neutral,frown,0.95,clench,0.8
1739917870,31:09.9,neutral,frown,0.95,clench,0.8
1739917870,31:10.0,neutral,frown,0.95,clench,0.8
1739917870,31:10.0,neutral,frown,0.95,clench,0.8
1739917870,31:10.0,neutral,frown,0.95,clench,0.8
1739917870,31:10.0,neutral,frown,0.95,clench,0.8
1739917870,31:10.1,neutral,frown,0.95,clench,0.8
1739917870,31:10.1,neutral,frown,0.95,clench,0.8
1739917870,31:10.1,neutral,frown,0.95,clench,0.8
1739917870,31:10.2,neutral,frown,0.95,clench,0.8
1739917870,31:10.2,neutral,frown,0.95,clench,0.8
1739917870,31:10.2,neutral,frown,0.95,clench,0.8
1739917870,31:10.3,neutral,frown,0.95,clench,0.8
1739917870,31:10.3,neutral,frown,0.95,clench,0.8
1739917870,31:10.3,neutral,frown,0.95,clench,0.8
1739917870,31:10.4,neutral,frown,0.95,clench,0.8
1739917870,31:10.4,neutral,frown,0.95,clench,0.8
1739917870,31:10.4,neutral,frown,0.95,clench,0.8
1739917870,31:10.5,neutral,frown,0.95,clench,0.8
1739917870,31:10.5,neutral,frown,0.95,clench,0.8
1739917871,31:10.5,neutral,frown,0.95,clench,0.8
1739917871,31:10.5,neutral,frown,0.95,clench,0.8
1739917871,31:10.6,neutral,frown,0.95,clench,0.8
1739917871,31:10.6,neutral,frown,0.95,clench,0.8
1739917871,31:10.6,neutral,frown,0.95,clench,0.8
1739917871,31:10.7,neutral,frown,0.95,clench,0.8
1739917871,31:10.7,neutral,frown,0.95,clench,0.8
1739917871,31:10.7,neutral,frown,0.95,clench,0.8
1739917871,31:10.8,neutral,frown,0.95,clench,0.8
1739917871,31:10.8,neutral,frown,0.95,clench,0.8
1739917871,31:10.8,neutral,frown,0.95,clench,0.8
1739917871,31:10.9,neutral,frown,0.95,clench,0.8
1739917871,31:10.9,neutral,frown,0.95,clench,0.8
1739917871,31:10.9,neutral,frown,0.95,clench,0.8
1739917871,31:11.0,neutral,frown,0.95,clench,0.8
1739917871,31:11.0,neutral,frown,0.95,clench,0.8
1739917871,31:11.0,neutral,frown,0.95,clench,0.8
1739917871,31:11.0,neutral,frown,0.95,clench,0.8
1739917871,31:11.1,neutral,frown,0.95,clench,0.8
1739917871,31:11.1,neutral,frown,0.95,clench,0.8
